day,Eggs,Larvae,Pupae,Adults,Zero Locations
436,8675562.196682,415801.885358,351397.538323,498283,2868
437,8277349.070097,410293.082877,335023.593248,489864,2972
438,8477358.813265,410579.361169,315916.005197,479443,3183
439,8410379.900735,409757.054036,303033.894862,467039,3454
440,8365700.142780,407181.707615,292785.152983,455106,3791
441,8331734.162654,410078.773097,310197.149972,442970,3911
442,7971999.110496,404716.769394,309883.682357,434650,4124
443,7609761.106415,398956.112733,318428.708776,427799,4382
444,7775549.069703,398494.474474,314790.479444,423171,4369
445,7572793.081875,398025.278124,325597.670936,418378,4618
446,7472244.879280,397593.984864,344507.965172,415076,4616
447,7199627.369187,393205.483265,358019.678899,416808,4602
448,6832590.894428,382542.943748,336761.704750,420169,4399
449,7046531.215423,382172.876917,317216.746547,419037,4503
450,7642903.072160,394981.392963,319573.567000,414797,4711
451,7609959.610450,397240.542216,326384.132118,411862,4900
452,7165588.212825,390838.852183,333201.569437,410304,4811
453,7354014.816487,390326.535222,330024.765046,409797,4767
454,7210658.148844,392589.651477,352031.071438,409040,4971
455,7138233.362527,391477.869808,364854.846802,411647,4766
456,6621700.774027,383092.402969,375418.291034,416907,4602
457,7178687.149575,384558.444785,349405.136913,421232,4480
458,7247643.259488,390001.583321,348303.203018,421824,4534
459,7519145.863082,393256.430278,338067.214444,421413,4445
460,7198820.351683,388551.827939,323897.832643,420626,4439
461,7324795.978260,386574.362318,305078.945254,417434,4554
462,7641274.786480,394351.473140,307673.996272,411038,4750
463,7381896.328303,393051.431992,311042.773737,406968,4921
464,7246630.613280,391251.083410,320662.016651,403146,5023
465,7039008.322000,384644.078318,307649.084204,402675,5023
466,6970061.843735,382658.456844,307123.836766,399020,5113
467,7176411.824186,388859.461450,321997.145636,396732,5232
468,7055257.215396,387898.365833,332059.379231,396280,5245
469,6871747.373826,385588.634330,344377.967852,397575,5234
470,6750633.478719,383016.273053,355792.789217,400804,5261
471,6809658.368045,383694.835833,362620.806545,404793,4961
472,6937675.476360,385885.108059,370692.017396,410159,4891
473,7081601.860471,387166.165872,366692.165409,415741,4616
474,7124601.021067,386610.431184,347575.663799,420159,4590
475,7117325.180318,387033.657982,331703.360977,420742,4507
476,7151816.054392,387317.020628,323211.361841,419505,4532
477,6842082.853557,381638.294011,309133.335277,417021,4518
478,6428416.495747,374500.723678,307136.742206,412671,4663
479,6553262.556320,374573.619672,302982.269074,407796,4832
480,6603215.254155,373990.132588,293022.769880,403411,5094
481,6977492.728644,382203.089657,305468.574803,397380,5261
482,6941103.736855,381312.789952,296366.375813,394743,5321
483,6576555.261117,374402.031624,284305.060068,390574,5361
484,6594281.664287,371027.859628,271944.041169,385242,5585
485,6497750.176199,368773.384290,257258.136347,378885,5918
486,6510957.094706,364965.960081,232764.438806,370407,6195
487,6284543.913761,361347.607121,219298.932357,359523,6734
488,6713473.180280,364576.268730,203586.806947,348458,7086
489,6630400.683163,364832.579494,194628.250104,335576,7743
490,6328804.089924,354032.739450,173462.357528,323512,8327
491,6427809.560282,351308.508339,154674.355400,309099,9106
492,6048625.704683,345037.021711,147541.955433,294243,10074
493,5700986.487132,340448.913667,152619.752699,280250,11021
494,5386962.963565,335478.034970,161223.814388,268334,11854
495,5098942.767416,328196.904693,165044.082991,258843,12729
